instance,ratio,gs_zLB,gs_gap_pct,gs_obj,lp_ks-full,obj_ks-full,lp_ks-cg,obj_ks-cg,lp_fks-cg,obj_fks-cg,diff_ks-full_pct,diff_ks-cg_pct,diff_fks-cg_pct
p1000-1000-78,3.0,3734252.05,3.614,3874268.099101529,3860064.925577377,3871283.056875,3860064.925577377,3871283.056884,3860064.925577377,3871283.056875,-0.07704790040785943,-0.0770479001755497,-0.07704790040785943
p1000-1000-79,3.0,3541005.321,4.171,3695129.1581880227,3683155.855934108,3692868.162906,3683155.8559341095,3692868.162906,3683155.8559341095,3692868.162906,-0.061188531854498705,-0.061188531854498705,-0.061188531854498705
p1000-1000-80,3.0,3662396.401,3.814,3807618.9892499945,3793292.1732884618,3803296.7588,3793292.173288461,3803296.7588,3793292.173288461,3803296.7588,-0.11351530870597773,-0.11351530870597773,-0.11351530870597773
p1000-1000-81,5.0,3346820.536,5.067,3525455.359042693,3519529.403194473,3525467.698081,3519529.403194469,3525467.698081,3519529.403194469,3525467.69808,0.00034999842715914504,0.00034999842715914504,0.0003499983988004032
p1000-1000-82,5.0,3394788.195,5.271,3583684.188580055,3578631.777392464,3583685.689182,3578631.77739246,3583685.689182,3578631.77739246,3583688.247304,4.187316364988781e-05,4.187316364988781e-05,0.0001132556255404528
p1000-1000-83,5.0,3433456.068,5.21,3622171.1868340545,3614965.417582039,3622154.075298,3614965.417582038,3622154.075298,3614965.417582038,3622154.075297,-0.00047241102564681903,-0.00047241102564681903,-0.00047241105326120816
p1000-1000-84,5.0,3218719.182,5.428,3403458.9328765385,3397538.062885316,3403455.442439,3397538.062885322,3403455.442439,3397538.062885322,3403455.442439,-0.00010255559438800069,-0.00010255559438800069,-0.00010255559438800069
p1000-1000-85,5.0,3373740.927,5.155,3557109.9446465285,3550197.736749376,3557003.137354,3550197.73674937,3557003.137354,3550197.73674937,3557003.137354,-0.0030026424313703347,-0.0030026424313703347,-0.0030026424313703347
p1000-1000-86,10.0,3404187.453,6.529,3641971.7912507625,3639843.7600967046,3641905.667242,3639843.760096699,3641905.667242,3639843.760096699,3641905.665887,-0.001815610129696837,-0.001815610129696837,-0.0018156473348131291
p1000-1000-87,10.0,3283041.791,6.615,3515598.6411093865,3513497.907511717,3515590.974451,3513497.9075117167,3515590.974712,3513497.9075117167,3515590.974712,-0.0002180754736032324,-0.0002180680495373986,-0.0002180680495373986
p1000-1000-88,10.0,3108254.294,6.763,3333713.326254599,3331781.211093682,3333726.631565,3331781.211093681,3333726.631565,3331781.211093681,3333726.631565,0.00039911381390680663,0.00039911381390680663,0.00039911381390680663
p1000-1000-89,10.0,3224363.243,6.627,3453207.2901159865,3450686.7239697324,3453190.404047,3450686.723969731,3453190.404047,3450686.723969731,3453190.404047,-0.0004889966795389209,-0.0004889966795389209,-0.0004889966795389209
p1000-1000-90,10.0,3197684.208,6.25,3410863.1552,3410289.9594412344,3410857.249567,3410289.9594412376,3410857.249567,3410289.9594412376,3410857.249567,-0.00017314189197893389,-0.00017314189197893389,-0.00017314189197893389
