instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p800-4400-27,58866.589272,58738.28239909969,394.8447,58852.110665,58738.282399099655,503.8524,58852.110665,58738.282399099655,481.0212,58852.11067,CM2019,True,0.024601669906422048,-8.495874890053079e-09,-8.495874890053079e-09
p800-4400-28,60063.034169,59954.06981038133,1327.6644,60063.034169,59954.06981038128,559.7217,60063.034169,59954.06981038128,962.4156,,,,,,
p800-4400-29,57936.39921,57817.25534194847,491.0344,57938.473196,57817.25534194836,276.9093,57936.39921,57817.25534194836,692.3346,57936.39921,CM2019,True,0.0,0.003579763375487457,0.0
p800-4400-3,747284.678965,747233.1854005917,601.0805,747295.734788,747233.1854005929,366.1099,747284.678965,747233.1854005929,74.2785,747284.67896,CM2019,True,6.690785717838402e-10,0.00147946670274836,6.690785717838402e-10
p800-4400-30,58041.444232,57973.019600449465,251.0276,58041.444232,57973.0196004496,149.9851,58041.444232,57973.0196004496,226.0171,58041.44423,CM2019,True,3.4458148028607586e-09,3.4458148028607586e-09,3.4458148028607586e-09
p800-4400-4,754884.225668,754867.3143810316,479.5095,754884.225668,754867.3143810309,272.5911,754884.225668,754867.3143810309,69.2144,754884.22567,CM2019,True,-2.6492788505282336e-10,-2.6492788505282336e-10,-2.6492788505282336e-10
p800-4400-5,749498.295235,749451.5491700445,769.0034,749490.690261,749451.5491700444,549.1136,749490.690261,749451.5491700444,79.6432,749490.69026,CM2019,True,0.0010146857190962118,1.33424954771148e-10,1.33424954771148e-10
p800-4400-6,432597.764848,432514.11520272,758.3923,432597.764848,432514.1152027204,530.0465,432588.207064,432514.1152027204,288.4965,,,,,,
p800-4400-7,447436.806636,447371.0039569116,1149.7538,447436.806636,447371.0039569121,555.2721,447436.806636,447371.0039569121,254.1735,447436.80664,CM2019,True,-8.939877986371908e-10,-8.939877986371908e-10,-8.939877986371908e-10
p800-4400-8,468724.725008,468666.3822688261,837.6926,468724.725008,468666.3822688256,554.1484,468724.725008,468666.3822688256,130.6591,468724.72501,CM2019,True,-4.266929227904653e-10,-4.266929227904653e-10,-4.266929227904653e-10
p800-4400-9,424888.299241,424817.21814081346,803.8073,424888.299241,424817.2181408137,514.9389,424875.9652,424817.2181408137,116.6627,424875.9652,CM2019,True,0.002902974517324995,0.002902974517324995,0.0
