instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p800-4400-1,745157.625233,745124.2093467872,739.8087,745157.625233,745124.2093467866,146.0018,745157.625233,745124.2093467866,90.4467,745157.62523,CM2019,True,4.0260244838186075e-10,4.0260244838186075e-10,4.0260244838186075e-10
p800-4400-10,441234.749841,441145.930044746,783.3422,441234.749841,441145.9300447462,472.1927,441218.451651,441145.9300447462,135.3026,441218.45184,CM2019,True,0.003693862061310068,0.003693862061310068,-4.2835920202236145e-08
p800-4400-11,290562.13786,290454.48278082284,832.0295,290562.13786,290454.48278082174,461.0041,290546.19753,290454.48278082174,139.8121,290546.19753,CM2019,True,0.005486332340785937,0.005486332340785937,0.0
p800-4400-12,292220.844986,292151.28356572957,733.4654,292220.844986,292151.2835657292,421.9236,292210.148188,292151.2835657292,194.0967,292210.14819,CM2019,True,0.003660651783061476,0.003660651783061476,-6.844242178835695e-10
p800-4400-13,304561.73711,304467.30276560417,828.3126,304561.73711,304467.30276560446,498.3666,304561.73711,304467.30276560446,275.3653,304561.73711,CM2019,True,0.0,0.0,0.0
p800-4400-14,304417.414617,304332.3236286346,827.5833,304417.414617,304332.32362863445,458.5794,304417.414617,304332.32362863445,203.4493,304417.41462,CM2019,True,-9.854964595980807e-10,-9.854964595980807e-10,-9.854964595980807e-10
p800-4400-15,282870.37226,282818.7978981354,820.3593,282870.366902,282818.7978981351,341.321,282870.366626,282818.7978981351,78.856,282870.37226,CM2019,True,0.0,-1.8941538316923403e-06,-1.991725027968312e-06
p800-4400-16,100662.719551,100510.0093223904,663.7549,100662.719551,100510.00932239046,419.9272,100662.719551,100510.00932239046,704.9335,100662.71955,CM2019,True,9.934239994347243e-10,9.934239994347243e-10,9.934239994347243e-10
p800-4400-17,99985.684845,99790.50232793076,1898.1957,100018.33352,99790.5023279307,667.4837,99966.918884,99790.5023279307,1161.5061,,,,,,
p800-4400-18,103945.405687,103716.63435403524,1244.9204,103962.173425,103716.63435403517,703.4285,103921.120995,103716.63435403517,1016.0846,,,,,,
p800-4400-19,104689.011398,104544.35460170652,783.7903,104689.011398,104544.3546017065,468.4541,104689.011398,104544.3546017065,743.6899,104689.0114,CM2019,True,-1.9104208267186976e-09,-1.9104208267186976e-09,-1.9104208267186976e-09
p800-4400-2,742345.881838,742319.8776161749,690.6898,742345.881838,742319.8776161742,474.373,742345.881838,742319.8776161742,98.5323,742345.88184,CM2019,True,-2.694182426161568e-10,-2.694182426161568e-10,-2.694182426161568e-10
p800-4400-20,102456.373795,102307.94727706404,576.1771,102453.947403,102307.94727706406,485.0029,102453.947403,102307.94727706406,374.0038,102453.9474,CM2019,True,0.002368278686744119,2.9281387548076583e-09,2.9281387548076583e-09
p800-4400-21,72593.020916,72364.29902756611,842.4597,72558.286471,72364.2990275661,841.298,72539.137256,72364.2990275661,1236.6714,,,,,,
p800-4400-22,70829.290581,70552.41785748114,1413.1678,70823.911204,70552.41785748138,909.9998,70823.911204,70552.41785748138,1432.1341,,,,,,
p800-4400-23,72796.839708,72482.95840341976,1540.4438,72773.316311,72482.9584034196,578.9474,72773.316311,72482.9584034196,1712.2418,,,,,,
p800-4400-24,73032.522021,72665.40925348476,1423.5438,73018.042489,72665.40925348444,999.508,73005.566779,72665.40925348444,1611.8131,,,,,,
p800-4400-25,75091.911956,74205.7237635104,416.2616,74540.465841,74205.72376351038,1138.8579,74537.536952,74205.72376351038,1530.5676,,,,,,
p800-4400-26,59499.342297,59450.97608143427,227.6422,59499.342297,59450.97608143422,269.1261,59499.342297,59450.97608143422,453.3464,59499.3423,CM2019,True,-5.042062018977399e-09,-5.042062018977399e-09,-5.042062018977399e-09
