instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p1000-4000-1,935346.192363,935325.889732258,703.2769,935346.192363,935325.889732258,297.3282,935346.192363,935325.889732258,61.9501,935346.19236,CM2019,True,3.2073930144630866e-10,3.2073930144630866e-10,3.2073930144630866e-10
p1000-4000-10,562954.642951,562891.1001221938,1070.5027,562954.642951,562891.1001221939,537.2226,562949.074466,562891.1001221939,147.4792,562949.07447,CM2019,True,0.0009891624753564886,0.0009891624753564886,-7.105492555857546e-10
p1000-4000-11,338888.583555,338806.1291758271,918.7221,338905.437939,338806.129175827,170.8299,338880.036453,338806.129175827,123.2084,338880.03645,CM2019,True,0.002522162441181803,0.007495717147020145,8.852585909886804e-10
p1000-4000-12,353176.146211,353119.784769377,930.7772,353176.146211,353119.7847693768,335.2487,353171.94813,353119.7847693768,165.4184,353171.94813,CM2019,True,0.00118867906192376,0.00118867906192376,0.0
p1000-4000-13,354290.982178,354180.9393662098,936.5288,354268.934188,354180.93936621014,198.4235,354229.648927,354180.93936621014,108.2593,354229.64893,CM2019,True,0.017314543879999127,0.011090335921520533,-8.469146646933979e-10
p1000-4000-14,368447.958857,368373.94686489546,1103.0728,368456.231029,368373.9468648956,378.5933,368438.258091,368373.9468648956,141.8029,368438.25806,CM2019,True,0.0026329505114500943,0.004878149488229322,8.413893655311572e-09
p1000-4000-15,359137.894624,359070.3727762745,1076.3909,359137.894624,359070.3727762742,501.4318,359137.894624,359070.3727762742,239.1092,359137.89462,CM2019,True,1.113786798300934e-09,1.113786798300934e-09,1.113786798300934e-09
p1000-4000-16,113966.860686,113832.89060561928,1894.773,114177.696535,113832.89060561924,297.6709,113966.860686,113832.89060561924,661.0044,,,,,,
p1000-4000-17,116306.916579,116193.8265948654,1934.4512,116619.338214,116193.82659486542,276.598,116302.255602,116193.82659486542,438.9521,116302.2556,CM2019,True,0.004007642823389015,0.27263668478670416,1.719657685703141e-09
p1000-4000-18,119521.787256,119433.88160890387,1181.5176,119603.556161,119433.88160890392,109.7335,119521.787256,119433.88160890392,265.4323,119521.78726,CM2019,True,-3.346671302230177e-09,0.06841338543752554,-3.346671302230177e-09
p1000-4000-19,113865.392676,113686.47273605864,1161.0235,113881.425862,113686.4727360586,260.6581,113844.464301,113686.4727360586,993.5639,,,,,,
p1000-4000-2,961536.359861,961489.5685026268,1020.1297,961536.359861,961489.5685026274,390.9712,961530.556765,961489.5685026274,87.3595,961530.55676,CM2019,True,0.0006035274655837345,0.0006035274655837345,5.200082345084401e-10
