instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p1000-4000-20,119693.661451,119426.03321171594,726.9016,119579.699685,119426.03321171588,291.7484,119543.254821,119426.03321171588,873.5616,,,,,,
p1000-4000-21,74419.63564,74188.2406913441,1496.0998,74587.081431,74188.24069134385,565.7892,74419.63564,74188.24069134385,1065.4577,,,,,,
p1000-4000-22,72612.935639,72385.25214650796,2220.8146,72691.882456,72385.2521465074,342.4081,72612.935639,72385.2521465074,973.6721,,,,,,
p1000-4000-23,76098.726383,75841.31061363519,1563.8049,76111.876615,75841.31061363501,682.1857,76084.827821,75841.31061363501,1044.5684,,,,,,
p1000-4000-24,,,,72363.762419,72083.69409070193,955.7193,72349.553408,72083.69409070193,1575.4707,,,,,,
p1000-4000-25,,,,73270.091998,72985.91792717262,946.3001,73253.461288,72985.91792717262,1352.8926,,,,,,
p1000-4000-26,,,,55590.871098,55501.05083340301,572.5419,55590.871098,55501.05083340301,1085.3557,55590.8711,CM2019,True,,-3.5977011360663813e-09,-3.5977011360663813e-09
p1000-4000-27,,,,58271.91001,58091.48253304386,1119.4993,58271.91001,58091.48253304386,1955.4593,,,,,,
p1000-4000-28,,,,55869.131679,55779.2924479734,323.4898,55869.131679,55779.2924479734,658.5137,55869.13169,CM2019,True,,-1.9688875397113433e-08,-1.9688875397113433e-08
p1000-4000-29,,,,55875.177783,55728.40314081409,200.1862,55853.15327,55728.40314081409,1683.5445,55853.15327,CM2019,True,,0.03943289091222451,0.0
p1000-4000-3,924322.091064,924308.2122839756,697.2752,924322.091064,924308.2122839754,302.6289,924322.091064,924308.2122839754,54.8248,924322.09106,CM2019,True,4.3275287874882443e-10,4.3275287874882443e-10,4.3275287874882443e-10
p1000-4000-30,,,,54952.447504,54822.056048309045,603.7795,54939.910684,54822.056048309045,459.7507,54939.91068,CM2019,True,,0.022819156137737145,7.280684123134478e-09
p1000-4000-4,961794.308508,961782.718740591,762.0265,961794.308508,961782.7187405924,380.1259,961794.308508,961782.7187405924,51.2917,961794.30851,CM2019,True,-2.0794625329870577e-10,-2.0794625329870577e-10,-2.0794625329870577e-10
p1000-4000-5,955331.108526,955128.7958308272,534.2176,955199.377436,955128.7958308272,379.7967,955174.827777,955128.7958308272,95.1526,955174.82778,CM2019,True,0.01636148079438283,0.002570174096510288,-3.140810201680784e-10
p1000-4000-6,559028.66263,558966.7475421878,1029.2572,559028.66263,558966.7475421891,450.665,559009.859142,558966.7475421891,74.9122,559009.85914,CM2019,True,0.0033637134824431167,0.0033637134824431167,3.577781672873592e-10
p1000-4000-7,582192.405495,582150.1894350261,886.7416,582192.405495,582150.1894350253,543.5196,582189.884382,582150.1894350253,186.5747,582189.88438,CM2019,True,0.00043303998706458396,0.00043303998706458396,3.4353314659814913e-10
p1000-4000-8,572170.317079,572127.4366152971,1041.9053,572211.662184,572127.4366152964,635.8625,572170.104142,572127.4366152964,140.0451,572170.10414,CM2019,True,3.721603041634956e-05,0.007263232332372012,3.495490614618641e-10
p1000-4000-9,537074.913395,537021.0791943033,1013.9328,537078.13238,537021.0791943028,445.7757,537074.913395,537021.0791943028,93.1332,537074.9134,CM2019,True,-9.309542360659856e-10,0.0005993540043840566,-9.309542360659856e-10
