instance,testbed,family,z_ref,ref_status,proven,gap_ks-full,obj_ks-full,gap_ks-cg,obj_ks-cg,gap_fks-cg,obj_fks-cg
p1000-4000-39,Test Bed B,1000x4000,758051.88613,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-40,Test Bed B,1000x4000,750792.67827,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-41,Test Bed B,1000x4000,560673.88666,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-42,Test Bed B,1000x4000,572151.94865,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-43,Test Bed B,1000x4000,551720.97236,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-44,Test Bed B,1000x4000,585892.96098,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-45,Test Bed B,1000x4000,562132.83149,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-46,Test Bed B,1000x4000,321194.39364,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-47,Test Bed B,1000x4000,316546.88488,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-48,Test Bed B,1000x4000,320512.7417,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-49,Test Bed B,1000x4000,315851.46932,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-50,Test Bed B,1000x4000,321285.22539,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-51,Test Bed B,1000x4000,289084.7319,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-52,Test Bed B,1000x4000,284105.83739,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-53,Test Bed B,1000x4000,287162.80121,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-54,Test Bed B,1000x4000,289740.6642,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-55,Test Bed B,1000x4000,286495.46841,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-56,Test Bed B,1000x4000,273028.85452,Proven Optimal,True,,,,,,
p1000-4000-57,Test Bed B,1000x4000,270303.18648,Proven Optimal,True,,,,,,
p1000-4000-58,Test Bed B,1000x4000,273931.234,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-59,Test Bed B,1000x4000,275054.37437,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-60,Test Bed B,1000x4000,275230.13588,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-31,Test Bed B,1200x3000,1222958.3085,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-32,Test Bed B,1200x3000,1235007.9638,Proven Optimal,True,,,,,,
p1200-3000-33,Test Bed B,1200x3000,1263641.9221,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-34,Test Bed B,1200x3000,1257483.52362,Proven Optimal,True,,,,,,
p1200-3000-35,Test Bed B,1200x3000,1253171.3576,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-36,Test Bed B,1200x3000,798789.9738,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-37,Test Bed B,1200x3000,790479.8377,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-38,Test Bed B,1200x3000,787298.294,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-39,Test Bed B,1200x3000,789876.5132,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-40,Test Bed B,1200x3000,789016.0322,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-41,Test Bed B,1200x3000,566533.0739,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-42,Test Bed B,1200x3000,551647.9072,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-43,Test Bed B,1200x3000,548378.4647,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-44,Test Bed B,1200x3000,559311.2071,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-45,Test Bed B,1200x3000,550072.70271,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-46,Test Bed B,1200x3000,273465.58347,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-47,Test Bed B,1200x3000,270483.02351,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-48,Test Bed B,1200x3000,274308.00565,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-49,Test Bed B,1200x3000,270877.01139,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-50,Test Bed B,1200x3000,270256.44242,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-51,Test Bed B,1200x3000,229788.07215,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-52,Test Bed B,1200x3000,239495.82282,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-53,Test Bed B,1200x3000,236781.46254,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-54,Test Bed B,1200x3000,229650.95643,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-55,Test Bed B,1200x3000,236081.41857,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-56,Test Bed B,1200x3000,218449.27494,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-57,Test Bed B,1200x3000,215017.89032,Best Known (Limit Exceeded),False,,,,,,
p1200-3000-58,Test Bed B,1200x3000,215966.60633,Proven Optimal,True,,,,,,
p1200-3000-59,Test Bed B,1200x3000,217370.00019,Proven Optimal,True,,,,,,
p1200-3000-60,Test Bed B,1200x3000,213270.37958,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-31,Test Bed B,2000x2000,1929208.96143,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-32,Test Bed B,2000x2000,1953696.17483,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-33,Test Bed B,2000x2000,1918062.62457,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-34,Test Bed B,2000x2000,1916484.74747,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-35,Test Bed B,2000x2000,1899655.9651,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-36,Test Bed B,2000x2000,1139240.45956,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-37,Test Bed B,2000x2000,1137226.79386,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-38,Test Bed B,2000x2000,1149367.07161,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-39,Test Bed B,2000x2000,1153266.90342,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-40,Test Bed B,2000x2000,1154609.21442,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-41,Test Bed B,2000x2000,751972.32101,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-42,Test Bed B,2000x2000,749914.09311,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-43,Test Bed B,2000x2000,763214.83425,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-44,Test Bed B,2000x2000,787213.02461,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-45,Test Bed B,2000x2000,762253.62606,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-46,Test Bed B,2000x2000,281253.43091,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-47,Test Bed B,2000x2000,281516.3204,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-48,Test Bed B,2000x2000,276366.90089,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-49,Test Bed B,2000x2000,274509.46763,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-50,Test Bed B,2000x2000,274523.04865,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-51,Test Bed B,2000x2000,206896.78955,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-52,Test Bed B,2000x2000,194771.18442,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-53,Test Bed B,2000x2000,195940.57562,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-54,Test Bed B,2000x2000,198830.30813,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-55,Test Bed B,2000x2000,199157.36501,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-56,Test Bed B,2000x2000,161469.1078,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-57,Test Bed B,2000x2000,157367.70871,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-58,Test Bed B,2000x2000,158336.12379,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-59,Test Bed B,2000x2000,158826.47855,Best Known (Limit Exceeded),False,,,,,,
p2000-2000-60,Test Bed B,2000x2000,155992.3924,Best Known (Limit Exceeded),False,,,,,,
