instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p1200-3000-1,1081003.897199,1080968.9425904553,748.5327,1081010.556791,1080968.9425904553,367.9475,1081002.018213,1080968.9425904553,58.9229,1081002.0182,CM2019,True,0.00017382011951081337,0.0007898774337384157,1.2025755677511607e-09
p1200-3000-10,638753.463612,638728.9002097073,1087.1342,638753.463612,638728.9002097081,116.7162,638753.463612,638728.9002097081,90.1535,638753.46363,CM2019,True,-2.8179918654790112e-09,-2.8179918654790112e-09,-2.8179918654790112e-09
p1200-3000-11,410941.839386,410897.47752618865,1034.6706,410941.839417,410897.47752618894,583.4848,410938.107568,410897.47752618894,80.1493,410938.10766,CM2019,True,0.0009080992807595258,0.0009081068244753898,-2.2387800091194658e-08
p1200-3000-12,404562.923917,404528.77970200125,1004.7472,404562.923917,404528.77970200154,352.4496,404562.923917,404528.77970200154,54.7001,404562.92392,CM2019,True,-7.415322706171718e-10,-7.415322706171718e-10,-7.415322706171718e-10
p1200-3000-13,426714.252107,426670.7262093044,956.3433,426714.252107,426670.726209304,240.3182,426698.57823,426670.726209304,73.6838,426698.57867,CM2019,True,0.0036731870654021525,0.0036731870654021525,-1.0311729509666302e-07
p1200-3000-14,414823.400335,414795.2191363172,896.4056,414823.400335,414795.2191363175,87.06,414823.400335,414795.2191363175,54.4563,414823.40034,CM2019,True,-1.2053273418779713e-09,-1.2053273418779713e-09,-1.2053273418779713e-09
p1200-3000-15,410578.31083,410549.7505220595,922.0801,410578.31083,410549.7505220592,441.986,410574.057101,410549.7505220592,50.047,410574.05705,CM2019,True,0.0010360566935314094,0.0010360566935314094,1.2421627720946009e-08
p1200-3000-16,125838.966312,125727.04561572283,1381.5701,125833.454452,125727.04561572283,654.5133,125829.161847,125727.04561572283,865.3312,,,,,,
p1200-3000-17,124874.27224,124784.10658445058,1401.8787,124880.838569,124784.10658445054,654.3028,124868.809627,124784.10658445054,311.9313,124868.80963,CM2019,True,0.004374679326397543,0.009633261529151466,-2.402528141698664e-09
p1200-3000-18,126557.067099,126484.79698618285,1126.2595,126557.067099,126484.7969861828,432.0797,126550.880167,126484.7969861828,147.2484,126550.88017,CM2019,True,0.004888886581975597,0.004888886581975597,-2.370594568394049e-09
p1200-3000-19,130086.414572,129992.79222638375,927.3152,130080.528703,129992.79222638372,655.852,130075.337244,129992.79222638372,529.6204,130075.33724,CM2019,True,0.008516089394842111,0.003991120154031528,3.07514202078345e-09
p1200-3000-2,1107883.621965,1107847.4237577606,651.1631,1107883.621965,1107847.423757759,366.5729,1107883.621965,1107847.423757759,48.3282,1107883.622,CM2019,True,-3.159179626957632e-09,-3.159179626957632e-09,-3.159179626957632e-09
p1200-3000-20,120939.171691,120853.39265753386,1005.2766,120939.171691,120853.39265753386,654.9964,120935.470716,120853.39265753386,482.9495,,,,,,
p1200-3000-21,73092.921001,72982.77827274868,673.2795,73073.329899,72982.77827274834,213.8249,73073.329899,72982.77827274834,170.7772,73073.3299,CM2019,True,0.02681019330418958,-1.3684788471342698e-09,-1.3684788471342698e-09
p1200-3000-22,70734.873107,70594.23400640619,1363.1661,70736.204594,70594.2340064061,645.7686,70726.838748,70594.2340064061,826.136,,,,,,
p1200-3000-23,70993.613349,70861.57228186967,1629.439,70993.613349,70861.57228186932,642.9694,70985.544824,70861.57228186932,919.0979,,,,,,
p1200-3000-24,73184.625377,73067.35205146614,1303.4154,73184.625377,73067.35205146595,443.087,73184.625377,73067.35205146595,759.8175,,,,,,
p1200-3000-25,74469.737721,74311.39222297665,1044.1228,74469.737721,74311.39222297685,486.9673,74467.851159,74311.39222297685,885.3735,,,,,,
p1200-3000-26,47911.273803,47796.020892387314,698.3706,47911.273803,47796.02089238721,463.1177,47911.273803,47796.02089238721,588.889,47911.2738,CM2019,True,6.26156121870768e-09,6.26156121870768e-09,6.26156121870768e-09
p1200-3000-27,47686.278515,47549.4405449861,1244.1847,47687.205913,47549.44054498625,787.3631,47686.278515,47549.44054498625,1608.3924,,,,,,
p1200-3000-28,48657.433197,48466.10606197941,1378.5652,48652.644647,48466.10606197952,1002.1044,48645.719297,48466.10606197952,1781.7757,,,,,,
p1200-3000-29,48083.049269,47890.14531637932,1381.9504,48083.049269,47890.1453163793,1168.484,48083.049269,47890.1453163793,1788.9305,,,,,,
p1200-3000-3,1078677.419805,1078656.0206306833,575.9195,1078677.419805,1078656.0206306863,377.1418,1078677.419805,1078656.0206306863,32.3333,1078677.4198,CM2019,True,4.635341373321709e-10,4.635341373321709e-10,4.635341373321709e-10
p1200-3000-30,48668.824135,48466.10606197941,1203.5139,48659.728385,48466.10606197952,568.7738,48645.719297,48466.10606197952,1554.387,,,,,,
p1200-3000-4,1113783.822871,1113758.8465455745,700.4848,1113783.822871,1113758.8465455745,435.4475,1113783.822871,1113758.8465455745,50.5222,1113783.82287,CM2019,True,8.978471351079142e-11,8.978471351079142e-11,8.978471351079142e-11
p1200-3000-5,1087166.445532,1087139.129987646,626.9893,1087166.445532,1087139.1299876457,377.8888,1087166.445532,1087139.1299876457,43.9303,1087166.44553,CM2019,True,1.8396587175864512e-10,1.8396587175864512e-10,1.8396587175864512e-10
p1200-3000-6,627192.891071,627160.6606415319,978.765,627192.891071,627160.6606415317,633.1282,627192.891071,627160.6606415317,226.1884,627192.8911,CM2019,False,-4.623774982334789e-09,-4.623774982334789e-09,-4.623774982334789e-09
p1200-3000-7,636056.301253,636020.2863754841,993.6361,636056.301253,636020.286375484,533.0472,636045.11016,636020.286375484,146.8581,636045.11016,CM2019,True,0.0017594810212731773,0.0017594810212731773,0.0
p1200-3000-8,699767.239595,699732.8950790053,938.1916,699767.239595,699732.8950790055,525.8277,699767.239595,699732.8950790055,257.2715,,,,,,
p1200-3000-9,660310.528426,660291.4438406486,1579.3657,660310.528426,660291.4438406482,486.9787,660310.528426,660291.4438406482,86.8773,660310.50969,CM2019,True,2.837452953031847e-06,2.837452953031847e-06,2.837452953031847e-06
