instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p1000-1000-1,920505.22445,920490.947614257,117.0228,920505.22445,920490.9476142582,64.6264,920505.22445,920490.9476142582,42.3687,920505.22445,CM2019,True,0.0,0.0,0.0
p1000-1000-10,543599.778304,543588.5837626315,149.4406,543599.778304,543588.5837626319,57.4593,543599.778304,543588.5837626319,7.1781,543599.7783,CM2019,True,7.358410760362667e-10,7.358410760362667e-10,7.358410760362667e-10
p1000-1000-11,350069.269655,350058.29659831326,115.5684,350069.269655,350058.2965983133,76.5072,350069.269655,350058.2965983133,13.1887,350069.26967,CM2019,True,-4.28486562565711e-09,-4.28486562565711e-09,-4.28486562565711e-09
p1000-1000-12,311516.150735,311493.35962579376,131.3179,311516.150735,311493.359625794,52.7101,311516.150735,311493.359625794,12.5061,311516.15073,CM2019,True,1.605046753784385e-09,1.605046753784385e-09,1.605046753784385e-09
p1000-1000-13,331149.174757,331134.2868279045,119.3035,331149.174757,331134.28682790464,48.2298,331149.174757,331134.28682790464,11.0515,331149.17475,CM2019,True,2.1138494755655967e-09,2.1138494755655967e-09,2.1138494755655967e-09
p1000-1000-14,334629.768685,334602.0595814114,164.3414,334630.873363,334602.0595814115,74.5965,334623.637261,334602.0595814115,14.8858,334622.6107,CM2019,True,0.0021391217362820027,0.002469248262299878,0.0003067817198095086
p1000-1000-15,347407.295837,347379.5097509496,144.6107,347407.295837,347379.50975094957,72.765,347407.295837,347379.50975094957,15.0856,347407.29584,CM2019,True,-8.635295434903141e-10,-8.635295434903141e-10,-8.635295434903141e-10
p1000-1000-16,95959.216657,95940.5534800141,113.1786,95959.216657,95940.5534800141,37.7564,95959.216657,95940.5534800141,15.4461,95959.21666,CM2019,True,-3.1263367876317986e-09,-3.1263367876317986e-09,-3.1263367876317986e-09
p1000-1000-17,93998.807234,93968.9588591022,92.5949,93998.807234,93968.95885910223,38.1307,93998.807234,93968.95885910223,13.6264,93998.80723,CM2019,True,4.255374586143058e-09,4.255374586143058e-09,4.255374586143058e-09
p1000-1000-18,95741.145501,95711.8253687935,115.8761,95737.232382,95711.82536879343,77.6481,95737.232382,95711.82536879343,30.3625,95737.23238,CM2019,True,0.004087355465293897,2.0890521141587982e-09,2.0890521141587982e-09
p1000-1000-19,91057.261727,91028.23867964288,128.877,91057.261727,91028.23867964285,58.22,91057.261727,91028.23867964285,22.1609,91057.26173,CM2019,True,-3.29462327622495e-09,-3.29462327622495e-09,-3.29462327622495e-09
p1000-1000-2,920834.16909,920809.0883089968,88.3621,920834.16909,920809.0883089964,37.1955,920834.16909,920809.0883089964,10.5393,920834.16909,CM2019,True,0.0,0.0,0.0
p1000-1000-20,97280.067532,97265.20586574943,79.6985,97280.067532,97265.20586574952,34.7241,97280.067532,97265.20586574952,15.5234,97280.06753,CM2019,True,2.0559203214520133e-09,2.0559203214520133e-09,2.0559203214520133e-09
p1000-1000-21,49884.825882,49845.232767446185,89.7284,49884.825882,49845.23276744618,23.6148,49884.825882,49845.23276744618,16.6419,49884.82588,CM2019,True,4.009236559996412e-09,4.009236559996412e-09,4.009236559996412e-09
p1000-1000-22,51137.537219,51086.171047306205,147.4153,51137.537219,51086.17104730618,95.1091,51137.537219,51086.17104730618,46.276,51137.53722,CM2019,True,-1.9555113384393755e-09,-1.9555113384393755e-09,-1.9555113384393755e-09
p1000-1000-23,50066.496619,50015.89813221762,118.705,50060.792982,50015.89813221761,43.8933,50060.792982,50015.89813221761,30.3467,50060.79298,CM2019,True,0.011393425194599033,3.995143820175882e-09,3.995143820175882e-09
p1000-1000-24,50504.315493,50437.81622866646,178.8297,50504.315493,50437.81622866645,72.7841,50504.315493,50437.81622866645,55.83,50504.31549,CM2019,True,5.940088458779877e-09,5.940088458779877e-09,5.940088458779877e-09
p1000-1000-25,48338.05942,48247.17212803819,282.4192,48338.05942,48247.172128038204,343.2322,48338.05942,48247.172128038204,283.0628,48338.05942,CM2019,True,0.0,0.0,0.0
p1000-1000-26,27490.956014,27364.808698921053,117.3027,27490.956014,27364.808698921053,78.0448,27490.956014,27364.808698921053,136.745,27490.95601,CM2019,True,1.4550231409592278e-08,1.4550231409592278e-08,1.4550231409592278e-08
p1000-1000-27,26586.943846,26518.53080537517,118.4345,26586.943846,26518.530805375172,79.8577,26586.943846,26518.530805375172,94.2637,26586.94385,CM2019,True,-1.504498364577177e-08,-1.504498364577177e-08,-1.504498364577177e-08
p1000-1000-28,26563.890716,26471.609883598816,98.1792,26563.890716,26471.6098835988,72.7214,26563.890716,26471.6098835988,61.6154,26563.89072,CM2019,True,-1.5058026545609192e-08,-1.5058026545609192e-08,-1.5058026545609192e-08
p1000-1000-29,27869.812878,27758.318989654155,112.0003,27859.421347,27758.31898965415,80.8377,27859.421347,27758.31898965415,182.6779,27859.42135,CM2019,True,0.03729987019274579,-1.0768353649266544e-08,-1.0768353649266544e-08
p1000-1000-3,931305.422124,931266.1384844916,109.4556,931305.422124,931266.1384844916,69.0756,931305.422124,931266.1384844916,17.3483,931305.42212,CM2019,True,4.295079103982786e-10,4.295079103982786e-10,4.295079103982786e-10
p1000-1000-30,26825.195027,26740.55123909899,85.4759,26825.195027,26740.551239098993,49.9856,26825.195027,26740.551239098993,73.7881,26825.19503,CM2019,True,-1.1183506305446833e-08,-1.1183506305446833e-08,-1.1183506305446833e-08
p1000-1000-4,917951.67276,917924.5100487956,114.7363,917951.67276,917924.5100487948,65.8772,917951.67276,917924.5100487948,10.1575,917951.67276,CM2019,True,0.0,0.0,0.0
p1000-1000-5,915635.350496,915609.0855992262,118.1227,915635.350496,915609.0856122264,64.6603,915635.350496,915609.0856122264,12.1817,915635.3505,CM2019,True,-4.368457421906466e-10,-4.368457421906466e-10,-4.368457421906466e-10
p1000-1000-6,530737.471322,530717.6609551973,245.8825,530737.471322,530717.6609551982,138.5838,530737.471322,530717.6609551982,30.8508,530737.47132,CM2019,False,3.7683701209422644e-10,3.7683701209422644e-10,3.7683701209422644e-10
p1000-1000-7,570792.944139,570761.3154068469,340.0265,570792.944139,570761.3154068473,292.2243,570792.944139,570761.3154068473,40.7175,570792.94414,CM2019,True,-1.7519621164905207e-10,-1.7519621164905207e-10,-1.7519621164905207e-10
p1000-1000-8,573827.77861,573812.7012598896,131.338,573827.77861,573812.7012598899,61.2745,573827.77861,573812.7012598899,10.7068,573827.77861,CM2019,True,0.0,0.0,0.0
p1000-1000-9,556686.447899,556659.9148191597,167.5529,556686.447899,556659.9148191597,91.3494,556686.44782,556659.9148191597,13.9861,556686.44779,CM2019,True,1.9580145251468892e-08,1.9580145251468892e-08,5.38902926831702e-09
